language,typology,PMI,DD
English,SVO,3.369466262285127,1
English,SVO,2.9851354003197836,1
English,SVO,4.081145635671887,1
English,SVO,5.07348512467615,1
English,SVO,2.4156685292607856,5
English,SVO,1.8401663577886955,2
English,SVO,8.481352816618946,1
English,SVO,2.166640981420871,1
English,SVO,2.2694477884097415,2
English,SVO,7.114435945092353,1
English,SVO,2.2798290498004508,1
English,SVO,3.387654153091189,2
English,SVO,3.535050953941739,3
English,SVO,2.8735410307158915,1
English,SVO,2.330910237161514,1
English,SVO,2.631883090741752,3
English,SVO,4.353256993685161,2
English,SVO,-0.11079437801226334,10
English,SVO,2.362468254796204,1
English,SVO,3.7802775033251015,2
English,SVO,5.182542514560397,1
English,SVO,1.8851538125620058,2
English,SVO,1.5759171397525535,1
English,SVO,2.6874731447223117,1
English,SVO,1.498020222996772,2
English,SVO,1.7635918326810922,1
English,SVO,2.231962738535192,1
English,SVO,-1.9574408321247287,3
English,SVO,-0.6069999870892967,1
English,SVO,3.2353499021372927,2
English,SVO,8.481352816618946,1
English,SVO,-0.8969696358480127,5
English,SVO,6.613779402434354,1
English,SVO,3.6849646986640616,2
English,SVO,0.8249669421008947,2
English,SVO,3.5149534255645816,1
English,SVO,8.481352816618946,1
English,SVO,4.981980940366027,4
English,SVO,2.362468254796204,1
English,SVO,3.9910030358928537,2
English,SVO,4.602882195063987,2
English,SVO,2.284423995982533,1
English,SVO,3.0158293076704266,1
English,SVO,2.330910237161514,2
English,SVO,1.6595941121468747,1
English,SVO,3.345887536464647,1
English,SVO,3.7343774124100717,3
English,SVO,2.7658646188360727,1
English,SVO,6.19679550885696,1
English,SVO,4.545035042514361,1
English,SVO,2.166640981420871,1
English,SVO,2.941436183419527,2
English,SVO,1.2055018717471597,4
English,SVO,3.5064482588882018,1
English,SVO,3.369466262285127,1
English,SVO,2.166640981420871,1
English,SVO,8.481352816618946,1
English,SVO,1.5919276454637117,1
English,SVO,1.64849998042929,2
